row_id,group,series,char,relation_in_shuowen,shuowen_gloss,shuowen_id,daxu_fanqie,guangyun_position,guangyun_fanqie,mc_bs2014,mc_match_method,mc_confidence,guangyun_all_readings,oc_bs2014,oc_status,oc_zhengzhang,oc_zz_status,duan_rhyme_group,series_head_rhyme_group,duan_semantic_remarks,duan_loan_extension_remarks,claimed_core,claimed_core_source,code_core,alt_core,code_alt_core,coder,coder_note,flags,src_gloss,src_duan,src_mc,duan_full_notes
55,youwen,句,痀,聲,曲𦟝也。从疒句聲。,4711,其俱切,見合三C虞平,舉朱,kju,initial+rhyme+tone,high,見合三C虞平 舉朱切 kju,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",Y,小（幼小）,,"Claude (first pass, unverified)",曲脊,duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,玉部玖下曰。讀若人句脊之句。二句字皆痀之誤也。 ‖ 其俱切。古音讀如苟。在四部。
56,youwen,句,佝,聲,務也。从人句聲。,5113,苦候切,曉一侯去,呼漏,xuwH,rhyme+tone_only,medium,曉一侯去 呼漏切 xuwH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,各本作務也二字。小徐作覆也。皆誤。今正。佝瞀也三字爲句。佝音寇。瞀音茂。疊韵字。二字多有或體。子部㝅下作㝅瞀。荀𨜮儒效作溝瞀。漢五行志作區霿。又作傋霿。楚辭九辨作怐愗。玉篇引作佝愗。應劭注漢書作瞉霿。郭景純注山海經作穀瞀。其音同。其義皆謂愚蒙也。山海經注穀字葢有誤。 ‖ 苦𠋫切。四部。
57,youwen,句,耇,聲,老人面凍黎若垢。从老省，句聲。,5355,古厚切,見一侯上,古厚,kuwX,identical_fanqie,high,見一侯上 古厚切 kuwX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,亦假借也,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,釋詁曰。耇、老、壽也。小雅毛傳曰。耇、壽也。孫炎曰。耇、面凍黎色如浮垢。老人壽徵也。儀禮注曰。耇、凍梨也。方言曰。東齊曰眉。燕代之北郊曰梨。秦晉之郊陳兖之會曰耇鮐。按方言又曰。麋黎、老也。麋黎卽卷一之眉梨。凍黎謂凍而黑色。或假梨爲之。尚書黎老作犁老。亦假借也。孫炎注本作面凍梨。見南山有臺、大誓二正義。本無如字。釋名及方言注乃云如凍梨。非也。 ‖ 古厚切。四部。
58,youwen,句,欨,聲,吹也。一曰笑意。从欠句聲。,5502,況于切,曉合三C虞平,況于,xju,identical_fanqie,high,曉合三C虞平 況于切 xju | 曉合三C虞上 況羽切 xjuX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,況于切。古音在四部。
59,youwen,句,駒,聲,馬二歲曰駒，三歲曰駣。从馬句聲。,6109,舉朱切,見合三C虞平,舉朱,kju,identical_fanqie,high,見合三C虞平 舉朱切 kju,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,Y,"Claude (first pass, unverified)","若取""小""义则幼马",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,周禮廋人。敎駣攻駒。鄭司農云。馬三歲曰駣。二歲曰駒。月令曰。犧牲駒犢。舉書其數。犢爲牛子。則駒、馬子也。小雅。老馬反爲駒。言已老矣而孩童慢之也。按詩駒四見。而漢廣、株林、皇皇者華於義皆當作驕。乃與毛傳說文合。不當作駒。依韵讀之則又當作駒。乃入韵。不當作驕。深思其故。葢角弓用字之本義。南有喬木、株林、皇皇者華則皆讀者求其韵不得。改驕爲駒也。駒未可駕車。故三詩斷非用駒本義。駣字旣見周禮。何以連類言之、不錄此篆也。曰疑周禮故書本作兆。或借羊部䍮爲之。許解中駣字葢非許君原文。後人依周禮改之耳。不當如玉篇擅增也。 ‖ 舉朱切。古音在四部。
60,youwen,句,狗,聲,孔子曰：“狗，叩也。叩气吠以守。”从犬句聲。,6270,古厚切,見一侯上,古厚,kuwX,identical_fanqie,high,見一侯上 古厚切 kuwX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,Y,"Claude (first pass, unverified)","本义无曲；若取""小""义则未成豪犬",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,吠以當作以吠。許書有扣無叩。扣訓牽馬也。疑古本有叩字、而許逸之。叩、觸也。从卩、口聲。叩气者、出其气也。一說叩卽敂之俗。敂者、擊也。几以此擊彼皆曰敂。犬敂气吠亦是以內禦外。鴻範五行傳注曰。犬、畜之以口吠守者也。屬言。按釋獸云。未成豪、狗。與馬二歲曰駒、熊虎之子曰豿同義。皆謂稚也。 ‖ 古厚切。四部。
61,youwen,句,鼩,聲,精鼩鼠也。从鼠句聲。,6370,其俱切,羣合三C虞平,其俱,gju,identical_fanqie,high,羣合三C虞平 其俱切 gju,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",X,小（幼小）,,"Claude (first pass, unverified)",鼠名,proper_name_excluded,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,四字一句。爾雅謂之鼩鼠。郭注。小鼱鼩也。亦名？鼩。漢書東方朔傳如淳注曰。鼱鼩、小鼠也。音精劬。據爾雅釋文、字林有鼱字。 ‖ 其俱切。古音在四部。
62,youwen,句,竘,聲,健也。一曰匠也。从立句聲。讀若齲。《逸周書》有竘匠。,6653,丘羽切,溪合三C虞上,驅雨,khjuX,initial+rhyme+tone,high,溪合三C虞上 驅雨切 khjuX | 溪一侯上 苦后切 khuwX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,淮南人閒訓。室始成。竘然善也。高注。竘、高壯皃。此與健之訓合。 ‖ 方言曰。竘、治也。吳越飾皃爲竘。或謂之巧。廣雅。竘、治也。又曰。竘、巧也。此與匠之訓合。 ‖ 丘羽切。按高誘音口。郭璞同。許意讀若糗。廣韵麌厚韵兼收。古音在四部。 ‖ 葢謂周書七十一篇也。竘匠之文俟攷。
63,youwen,句,姁,聲,嫗也。从女句聲。,8102,況羽切,曉合三C虞上,況羽,xjuX,identical_fanqie,high,曉合三C虞平 況于切 xju | 羣合三C虞平 其俱切 gju | 曉合三C虞上 況羽切 xjuX | 曉合三C虞去 香句切 xjuH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,然則姁亦母偁也。師古曰。呂后名雉。字娥姁。 ‖ 況羽切。四部。
64,youwen,句,絇,聲,纑繩絇也。从糸句聲。讀若鳩。,8654,其俱切,羣合三C虞平,其俱,gju,identical_fanqie,high,羣合三C虞平 其俱切 gju | 見合三C虞去 九遇切 kjuH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,取拘止之意,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",E,小（幼小）,,"Claude (first pass, unverified)","段注""取拘止之意""",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,纑者、布縷也。繩者、索也。絇、糾合之謂。以讀若鳩知之。謂若纑若繩之合少爲多皆是也。廣韵。絇、九遇切。絲絇也。唐會眞記崔氏書曰。奉寄采絲一絇。元稹詩曰。棼絲不成絇。正讀九遇切。是唐人多用此語。若屨絇、禮經及禮記皆作絇。周禮作句。鄭云。箸舄屨之頭以爲行戒。句當爲絇。聲之誤也。玉裁按許不言屨飾。但言纑繩絇。許意屨絇字當從周禮作句爲正。取拘止之意。 ‖ 古音在四部。今其俱切。
65,youwen,句,蚼,聲,北方肓蚼犬，食人。从虫句聲。,8883,古厚切,曉一侯上,呼后,xuwX,rhyme+tone_only,low,羣合三C虞平 其俱切 gju | 曉一侯上 呼后切 xuwX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",X,小（幼小）,,"Claude (first pass, unverified)",蚼犬,mc_low;proper_name_excluded,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,海內北經。蜪犬如犬。靑。食人從首始。郭注。蜪音陶。或作蚼。音鉤。按作蚼爲是。正許所本也。周書。渠搜以鼩犬。能飛食虎豹。鼩同蚼。借鼱鼩字爲之耳。大戴禮作渠搜貢虛犬。虛亦音之轉也。今本周書作䶂犬。依文選王融曲水詩序正。 ‖ 古厚切。四部。
66,youwen,句,䵶,聲,𪓷屬，頭有兩角，出遼東。从黽句聲。,8960,其俱切,,,,none,none,,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,mc_none,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,以頭有二角別於𪓷也。葢亦可食。 ‖ 其俱切。古音在四部。讀如鉤。篇、韵皆作𪓞。按吳都賦有𪓟鼊。劉注。龜屬也。如瑇瑁。此與單名𪓞者各物。
67,youwen,句,劬,聲,勞也。从力句聲。,9205,其俱切,羣合三C虞平,其俱,gju,identical_fanqie,high,羣合三C虞平 其俱切 gju,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,
68,youwen,句,斪,聲,斫也。从斤句聲。,9431,其俱切,羣合三C虞平,其俱,gju,identical_fanqie,high,羣合三C虞平 其俱切 gju,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,斪之言鉤也 / 斸之言斫也,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",E,小（幼小）,,"Claude (first pass, unverified)","段注""斪之言鉤也""",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,逗。 ‖ 各本無斪斸所㠯四字。今補。爾雅。斪斸謂之定。斪斸合二字成文。斪之言鉤也。斸之言斫也。考工記車人注作句欘。斤斧所以斫木。斪斸所以斫地。 ‖ 其俱切。四部。
69,youwen,句,軥,聲,軶下曲者。从車句聲。,9516,古候切,見一侯去,古候,kuwH,identical_fanqie,high,羣合三C虞平 其俱切 gju | 見一侯平 古侯切 kuw | 見一侯去 古候切 kuwH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",Y,小（幼小）,,"Claude (first pass, unverified)",轭下曲者,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,軶木上平而下爲㒳坳。加於㒳服馬之頸。是曰軥。韓奕毛傳曰。厄、烏噣也。小爾雅曰。衡、㧖也。㧖下者謂之烏啄。釋名曰。槅、扼也。所以扼牛頭也。馬曰烏啄。下向叉馬頸。似烏開口向下啄物時也。噣啄同字。軶與軥同體。左傳。射㒳軥而還。服注。車軛㒳邊叉馬頸者。 ‖ 古候切。四部。亦平聲。
70,youwen,句,䣱,聲,醉醟也。从酉句聲。,9803,香遇切,,,,none,none,,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,四部,四部,,,曲、钩曲,"《说文》""句，曲也""；段注""鉤""下""句之屬三字皆會意兼形聲""",N,小（幼小）,,"Claude (first pass, unverified)",,mc_none,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,依尙書釋文訂。書作酗。某氏傳曰。以酒爲凶曰酗。周禮司救注亦云酗醟。 ‖ 香遇切。古音在四部。
71,youwen,皮,皮,phonetic_head,剥取獸革者謂之皮。从又，爲省聲。凡皮之屬皆从皮。,1980,符羈切,並三B支平,符羈,bje,identical_fanqie,high,並三B支平 符羈切 bje,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,十七部,,引伸凡物之表皆曰皮,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",H,偏斜/覆被,,"Claude (first pass, unverified)",剥取兽革，含剖离义,duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,剝、裂也。謂使革與肉分裂也。云革者、析言則去毛曰革。統言則不別也。云者者、謂其人也。取獸革者謂之皮。皮、柀。柀、析也。見木部。因之所取謂之皮矣。引伸凡物之表皆曰皮。凡去物之表亦皆曰皮。戰國策言皮面抉眼王裦僮約言落桑皮椶釋名言皮瓠以爲蓄皆是。 ‖ 又手也。所以剝取也。 ‖ 符羈切。古音爲皮皆在十七部。 ‖ 从竹者、葢用竹以離之。
72,youwen,皮,彼,聲,往，有所加也。从彳皮聲。,1230,補委切,幫三B支上,甫委,pjeX,initial+rhyme+tone,high,幫三B支上 甫委切 pjeX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十七部,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",N,偏斜/覆被,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,彼加曡韵。 ‖ 補委切。古音在十七部。
73,youwen,皮,跛,聲,行不正也。从足皮聲。一曰足排之。讀若彼。,1391,布火切,幫一歌上,布火,paX,identical_fanqie,high,幫一歌上 布火切 paX | 幫三B支去 彼義切 pjeH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",N,偏斜/覆被,Y,"Claude (first pass, unverified)",行不正，偏,duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,
74,youwen,皮,詖,聲,辯論也。古文以爲頗字。从言皮聲。,1498,彼義切,幫三B支去,彼義,pjeH,identical_fanqie,high,幫三B支平 彼爲切 pje | 幫三B支去 彼義切 pjeH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十五部,十七部,凡从皮之字皆有分析之意,此古文同音假借也,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",Y,偏斜/覆被,Y,"Claude (first pass, unverified)","辩论；段注正于此字下立""分析""说",rhyme_group_differs_from_head,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,此詖字正義。皮、剥取獸革也。柀、析也。凡从皮之字皆有分析之意。故詖爲辨論也。 ‖ 此古文同音假借也。頗、偏也。 ‖ 彼義切古音在十五部。
75,youwen,皮,鞁,聲,車駕具也。从革皮聲。,1812,平祕切,並三B支去,平義,bjeH,initial_only,medium,並三B支去 平義切 bjeH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十七部,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",N,偏斜/覆被,E,"Claude (first pass, unverified)",车驾具，覆马,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,晉語。吾兩鞁將絕。吾能止之。韋曰。鞁、靷也。按韋以左傳作靷。故以靷釋之。其實鞁所包者多。靷其大者。封禪書言雍五畤。路車各一乗。駕被具。西畤、畦畤。禺車各一乗。禺馬四匹。駕被具。被卽鞁字也。鞁與糸部絥[糹+𤰈]{𩍁}各物。 ‖ 平祕切。按當依廣韵平義切。古音在十七部。
76,youwen,皮,簸,聲,揚米去糠也。从箕皮聲。,3004,布火切,幫一歌上,布火,paX,identical_fanqie,high,幫一歌上 布火切 paX | 幫一歌去 補過切 paH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十七部,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",Y,偏斜/覆被,,"Claude (first pass, unverified)",扬米去糠，分离,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,與播布之義相近。 ‖ 布火切。十七部。
77,youwen,皮,柀,聲,檆也。从木皮聲。一曰折也。,3449,甫委切,幫三B支上,甫委,pjeX,identical_fanqie,high,幫三B支上 甫委切 pjeX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,十七部,,卽柀之假借,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",E,偏斜/覆被,,"Claude (first pass, unverified)",一曰折也,duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,黏各本作{木+黏[左右]}｛檆｝。徐鉉因增一{木+黏[左右]}篆。非也。今𠜂{木+黏[左右]}篆。依爾雅正{木+黏[左右]}爲黏。釋木曰。柀、黏。上音彼。下音所咸反。卽今之杉木也。黏與杉爲正俗字。郭云。黏生江南。可以爲船及棺。羅氏願爾雅翼曰。柀似杉而異。杉以材偁。柀又有美實。而材尤文采。其樹大連抱。高數仞。葉似杉。木如柏。作松理。肌理細輭。堪爲器用。古所謂文木也。其實有皮殼。大小如棗而短。去皮殼。可生食。本艸有彼子。卽柀子也。引蘇恭說。本艸誤入蟲部。陶隱居木部出之。按依羅氏說則柀與杉有別。今人恆用者皆杉。非柀也。爾雅、說文渾言之耳。南方艸木狀曰。杉一名柀黏。 ‖ 甫委切。古音𡉈十七部。按爾雅音義音彼。又匹彼反。集韵、類篇本之。皆補靡普靡二切。今爾雅音義彼譌作披。非也。蘇恭本艸彼子注云。彼當作柀。柀仍音彼。成化刻本彼亦譌披。 ‖ 析各本譌折。今正。葉石君寫本及類篇正作析。按柀析字見經傳極多。而版本皆譌爲手旁之披。披行而柀廢矣。左傳曰。披其地以塞夷庚。韓非子曰。數披其木。毋使木枝扶疏。戰國策范睢引詩曰。木實緐者披其枝。披其枝者傷其心。史記魏其武安傳曰。此所謂枝大於本。脛大於股。不折必披。方言曰。披、散也。東齊聲散曰𤺊。器破曰披。此等非柀之字誤。卽柀之假借。手部披訓從旁持。木部柀乃訓分析也。陸德明、包愷、司馬貞、張守節、吳師道皆音上聲。普彼反。是可證字本從木也矣。
78,youwen,皮,貱,聲,迻予也。从貝皮聲。,3939,彼義切,幫三B支去,彼義,pjeH,identical_fanqie,high,幫三B支去 彼義切 pjeH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十七部,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",E,偏斜/覆被,,"Claude (first pass, unverified)",迻予，分予，存疑,coding_uncertain,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,迻、遷徙也。展轉寫之曰迻書。展轉予人曰迻予。貱迻曡韵。 ‖ 彼義切。古音在十七部。
79,youwen,皮,旇,聲,旌旗披靡也。从㫃皮聲。,4278,敷羈切,滂三B支平,敷羈,phje,identical_fanqie,high,滂三B支平 敷羈切 phje | 並三B支去 平義切 bjeH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十三部,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",E,偏斜/覆被,E,"Claude (first pass, unverified)",旌旗披靡,rhyme_group_differs_from_head,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,披靡當是𢫾𪎮之誤。淺人所改也。爾雅曰。旄謂之藣。集韵、類篇皆作麾謂之旇。爾雅藣字卽許之旇字。大人賦張揖注云。𢫾橋、隨風指𪎮也。今𪎮誤靡。 ‖ 敷羈切。古音在十三部。披靡皆上聲。
80,youwen,皮,疲,聲,勞也。从疒皮聲。,4756,符羈切,並三B支平,符羈,bje,identical_fanqie,high,並三B支平 符羈切 bje,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十七部,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",N,偏斜/覆被,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,經傳多假罷爲之。 ‖ 符羈切。古音在十七部。
81,youwen,皮,帔,聲,弘農謂帬帔也。从巾皮聲。,4846,披義切,滂三B支去,披義,phjeH,identical_fanqie,high,滂三B支平 敷羈切 phje | 滂三B支去 披義切 phjeH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十七部,十七部,,,分析、剖离,"段注""詖""下""凡从皮之字皆有分析之意""",N,偏斜/覆被,E,"Claude (first pass, unverified)",裙帔，覆,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,謂帬曰帔也。方言曰。帬、陳魏之閒謂之帔。自關而東謂之襬。 ‖ 披義切。古音在十七部。
