sw_id,char,phonetic,in_analysis_set,daxu_gloss,xiaoxu_reading,unknown_reason,layer,round,xiaoxu_juan,xiaoxu_quote,note
5460,覽,監,True,觀也。从見、監，監亦聲。,亦聲,,both,round1,,觀也从見監亦聲,
5522,歊,高,True,歊歊，气出皃。从欠、高，高亦聲。,亦聲,,both,round2,16,歊气出皃从欠高高亦聲,
5535,𣣸,𠧴,True,言意也。从欠从𠧴，𠧴亦聲。讀若酉。,亦聲,,both,round2,16,言意从欠从亦聲讀若酉,𠧴字脫（非□），僅存亦聲
5557,欥,曰,True,詮詞也。从欠从曰，曰亦聲。《詩》曰：“欥求厥寕。”,亦聲,,both,round1,,宻反詮詞从欠曰曰亦聲詩曰欥求厥寜,
5622,𩑦,𠬸,True,内頭水中也。从頁、𠬸，𠬸亦聲。,亦聲,,both,round1,,内頭水中从頁亦聲,
5668,靦,見,True,面見也。从面、見，見亦聲。《詩》曰：“有靦面目。”,亦聲,,both,round2,17,靣見也从靣見亦聲,
5680,䫇,冄,True,頰須也。从須从冄，冄亦聲。,亦聲,,both,round1,,頰須也从冄冄亦聲,
5687,彰,章,True,文彰也。从彡从章，章亦聲。,聲,,daxu_only,round2,17,文章也从彡章聲,auto_guess correct
5742,㖃,后,True,厚怒聲。从口、后，后亦聲。,亦聲,,both,round3_scan,17,厚怒聲從口后后亦聲,聲 is printed 声; 臣鍇曰東方朔十洲記… 蒿厚反. Juan 17 1a = n5 p21 left; the 版心 shows 九 [扫描 n5.pdf p30 right 017-9b]
5782,匌,合,True,帀也。从勹从合，合亦聲。,聲,,daxu_only,round3_scan,17,帀也從勹合聲,No 臣鍇 commentary; the text is 帀也從勹合 / 声 後閤反. Da Xu 从勹从合合亦聲 [扫描 n5.pdf p32 left 017-12a]
5808,魑,离,False,鬼屬。从鬼从离，离亦聲。,未找到,新附,unknown,round2,17,,大徐新附字；鬼部止於魋
5886,屵,厂,True,岸高也。从山、厂，厂亦聲。凡屵之屬皆从屵。,亦聲,,both,round1,,岸髙也从山厂厂亦聲凡屵之屬皆从屵,
6148,馼,文,True,馬赤鬣縞身，目若黃金，名曰𩢌。吉皇之乘，周文王時，犬戎獻之。从馬从文，文亦聲。《春秋傳》曰：“𩢌馬百駟。”畫馬也。西伯獻紂，以全其身。,亦聲,,both,round1,,馬赤鬛縞身囙若黄金名曰吉皇之乗周文王時犬戎獻之从馬文文亦聲春秋傳曰馬百駟畫馬也西伯獻紂以全其身,
6283,𤟟,音,True,竇中犬聲。从犬从音，音亦聲。,亦聲,,both,round1,,竇中犬聲从犬从音音亦聲,
6303,𤞛,壯,True,妄彊犬也。从犬从壯，壯亦聲。,聲,,daxu_only,round3_scan,19,妄強犬也從犬壯声,"Juan 19 1a = p52 left. The fanqie 在郎反 follows directly, with no commentary. The entry comes after 獷 and 狀. [扫描 n5.pdf p61 right 019-9b]"
6448,煣,柔,True,屈申木也。从火、柔，柔亦聲。,亦聲,,both,round1,,屈申木也从火柔柔亦聲,
6449,燓,棥,True,燒田也。从火、棥，棥亦聲。,亦聲,,both,round1,,燒田也从火棥棥亦聲,
6546,悤,囪,True,多遽悤悤也。从心、囪，囪亦聲。,亦聲,,both,round2,19,多遽怱怱也从心囱囱亦聲,
6562,赩,色,False,大赤也。从赤、色，色亦聲。,未找到,新附,unknown,round2,19,,赤部文八止於赫，無赩
6596,尳,骨,True,厀病也。从尣从骨，骨亦聲。,亦聲,,both,round2,20,膝病从尣骨骨亦聲,
6613,執,㚔,True,捕罪人也。从丮从㚔，㚔亦聲。,亦聲,,both,round1,,捕罪人也从丮㚔㚔亦聲,
6621,𠅣,亢,True,直項莽𠅣皃。从亢从夋。夋，倨也。亢亦聲。,亦聲,,both,round2,20,直項莽皃从亢从夋夋倨也亢亦聲,
6629,𥉁,䀠,True,舉目驚𥉁然也。从夰从䀠，䀠亦聲。,無聲,,daxu_only,round2,20,舉目驚然也从䀠从夰,字頭後脫；無亦聲
6630,奡,夰,True,嫚也。从𦣻从夰，夰亦聲。《虞書》曰：“若丹朱奡。”讀若傲。《論語》：“奡湯舟。”,亦聲,,both,round1,,嫚也从□从夰夰亦聲虞書曰者丹朱奡讀若傲論語奡盪舟,
6631,昦,夰,True,春爲昦天，元气昦昦。从日、夰，夰亦聲。,亦聲,,both,round1,,春爲昦天元气昦昦从日夰夰亦聲,
6634,奕,亦,False (亦 false hit),大也。从亣亦聲。《詩》曰：“奕奕梁山。”,亦聲,,both,round1,,大也从大亦聲詩曰奕奕梁山,
6635,奘,壯,True,駔大也。从亣从壯，壯亦聲。,聲,,daxu_only,round2,20,駔大也从大壯聲,
6671,息,自,True,喘也。从心从自，自亦聲。,亦聲,,both,round3_scan,20,喘也從心自自亦声,Juan 20 1a = p73 left. This is the second entry of 心部. [扫描 n5.pdf p81 left 020-9a]
6709,憼,敬,True,敬也。从心从敬，敬亦聲。,亦聲,,both,round2,20,敬也从心敬敬亦聲,
6719,懬,廣,True,闊也。一曰廣也，大也。一曰寬也。从心从廣，廣亦聲。,亦聲,,both,round2,20,闊也一曰廣也大也从心廣廣亦聲,"無""一曰寬也"""
6780,𢛆,弦,True,急也。从心从弦，弦亦聲。河南密縣有𢛆亭。,聲,,daxu_only,round2,20,急也从心弦聲,
6796,懝,疑,True,騃也。从心从疑，疑亦聲。一曰惶也。,亦聲,,both,round3_scan,20,駿也從心疑疑亦声一曰惶也,"The gloss character is printed like 駿, where Da Xu has 騃. The entry is the first column of 14a, before 忽 and 忘 on 14b, so Xiao Xu's order differs from Da Xu's. 臣鍇 commentary follows: 猶儓儗也. [扫描 n5.pdf p86 left 020-14a]"
6810,忘,亡,True,不識也。从心从亡，亡亦聲。,聲,,daxu_only,round3_scan,20,不識也從心亡声,"The fanqie 勿強反 follows directly, with no commentary. [扫描 n5.pdf p87 right 020-14b]"
6861,愾,氣,True,大息也。从心从氣，氣亦聲。《詩》曰：“愾我寤歎。”,亦聲,,both,round2,20,太息也从心氣氣亦聲,
6902,患,吅,True,憂也。从心上貫吅，吅亦聲。,亦聲,,both,round1,,憂也从心上貫吅吅亦聲,
6903,恇,匡,True,怯也。从心、匡，匡亦聲。,亦聲,,both,round2,20,怯也从心匡匡亦聲,
7109,汭,内,True,水相入也。从水从内，内亦聲。,聲,,daxu_only,round1,,水相入也从水内聲,
7131,泬,穴,True,水从孔穴疾出也。从水从穴，穴亦聲。,無聲,,daxu_only,round2,21,水从孔疾出也从水宂,宂當即穴，無聲字
7137,洸,光,True,水涌光也。从水从光，光亦聲。《詩》曰：“有洸有潰。”,亦聲,,both,round1,,水涌光也从水光光亦聲詩曰在洸有潰,
7212,派,𠂢,True,別水也。从水从𠂢，𠂢亦聲。,亦聲,,both,round2,21,别水也从水□□亦聲,□ for 𠂢; commentary 匹賣反
7378,汲,及,True,引水於井也。从水从及，及亦聲。,聲,,daxu_only,round2,21,引水于井也从水及聲,
7393,㵞,愁,True,腹中有水气也。从水从愁，愁亦聲。,聲,,daxu_only,round2,21,腹中有水气也从水愁聲,
7406,泮,半,True,諸矦鄉射之宮，西南爲水，東北爲牆。从水从半，半亦聲。,亦聲,,both,round2,21,諸侯饗射之宫也西南為水東北為墻从水半半亦聲,
7409,萍,苹,True,苹也。水艸也。从水、苹，苹亦聲。,亦聲,,both,round2,21,革水艸也从水革苹亦聲,革 miscopied for 苹
7434,涯,厓,False,水邊也。从水从厓，厓亦聲。,未找到,新附,unknown,round2,21,-,大徐新附字，小徐無
7667,否,不,True,不也。从口从不，不亦聲。,亦聲,,both,round3_scan,23,不也從口不不亦声,"The entry is in 不部 at the start of juan 23 (1a is at p41 left; the TOC's p40 is still juan 22). The formula reads 從口不, not 從口從不, and 聲 is printed as 声. 臣鍇曰否者不可之意見于言也 付刃反. [扫描 n6.pdf p42 right 023-1b]"
7738,閽,昏,True,常以昏閉門隸也。从門从昏，昏亦聲。,聲,,daxu_only,round2,23,常㠯昏閉門隷也从門昏聲,
7862,挻,延,True,長也。从手从延，延亦聲。,聲,,daxu_only,round1,,長也从手延聲,
7873,授,受,True,予也。从手从受，受亦聲。,聲,,daxu_only,round2,23,予也从手受聲,auto_guess correct
8024,㩓,毀,True,傷擊也。从手、毀，毀亦聲。,聲,,daxu_only,round2,23,傷擊也从手毀聲,
8042,拲,共,True,兩手同械也。从手从共，共亦聲。《周禮》：“上辠，梏拲而桎。”,聲,,daxu_only,round3_scan,23,兩手共同械也從手共声周禮曰上罪梏拲而桎,"Plain 從手共声, with no 亦 and no 從…從. The gloss is printed as 兩手共同械也, with an extra 共 in the small double column. No 臣鍇 commentary; the fanqie 短悚反 follows. The 或體 從木 comes next. [扫描 n6.pdf p57 right 023-16b]"
8070,姓,生,True,人所生也。古之神聖母，感天而生子，故稱天子。从女从生，生亦聲。《春秋傳》曰：“天子因生以賜姓。”,亦聲,,both,round3_scan,24,人所生也古之神聖人母感天而生子故稱天子因生以爲姓從女生生亦声,"This is the second entry of juan 24 (女部, after 女). The formula reads 從女生, not 從女從生. There is no 春秋傳 quotation before 臣鍇. 臣鍇曰據典氏妻附寶感… [扫描 n6.pdf p58 left 024-1a]"
8086,娶,取,True,取婦也。从女从取，取亦聲。,聲,,daxu_only,round2,24,取婦也从女取聲,auto_guess correct
8087,婚,昏,True,婦家也。《禮》：娶婦以昏時，婦人陰也，故曰婚。从女从昏，昏亦聲。,無聲,,daxu_only,round2,24,婦家也从女昏禮娶婦以昏時婦人隂故曰婚,作从女昏，無聲字
8088,姻,因,True,壻家也。女之所因，故曰姻。从女从因，因亦聲。,聲,,daxu_only,round2,24,壻家也女之所因故曰姻从女因聲,
8093,妊,壬,True,孕也。从女从壬，壬亦聲。,亦聲,,both,round2,24,孕也从女壬壬亦聲,
8109,娣,弟,True,女弟也。从女从弟，弟亦聲。,聲,,daxu_only,round3_scan,24,女弟也從女弟声,"plain 弟声 (the page uses the short form 声), no 亦; fanqie 笛計反, no 臣鍇. Leaf 3a (juan 24 1a = p58 left); anchors 2a/2b are about 1 leaf off [扫描 n6.pdf p60 left 024-3a]"
8120,婢,卑,True,女之卑者也。从女从卑，卑亦聲。,亦聲,,both,round1,,女之卑者从女卑卑亦聲,
8145,媄,美,True,色好也。从女从美，美亦聲。,聲,,daxu_only,round2,24,色好也从女羙聲,
8298,奸,干,True,犯婬也。从女从干，干亦聲。,亦聲,,both,round2,24,犯滛从女干干亦聲,
8381,匹,八,True,四丈也。从八、匸。八揲一匹，八亦聲。,亦聲,,both,round3_scan,24,四丈也從匸八八揲一匹八亦声,臣鍇曰會意篇七反; 声 short form. Leaf 16a (fold 十六); anchors 14a/14b are about 2 leaves off [扫描 n6.pdf p73 left 024-16a]
8567,䋛,米,True,繡文如聚細米也。从糸从米，米亦聲。,未找到,卷二十五据大徐补,unknown,round2,25,-,卷25 supplement; gap after 繡
8710,緉,兩,True,履兩枚也。一曰絞也。从糸从兩，兩亦聲。,亦聲,卷二十五据大徐补,unknown,round2,25,履兩枚也一曰絞也从糸从兩兩亦聲,卷25，補自大徐
8763,螟,冥,True,蟲食穀葉者。吏冥冥犯法卽生螟。从虫从冥，冥亦聲。,亦聲,卷二十五据大徐补,unknown,round2,25,蟲食榖葉者吏冥冥犯法即生螟从虫从冥冥亦聲,卷25據大徐補
8764,蟘,貸,True,蟲，食苗葉者。吏乞貸則生蟘。从虫从貸，貸亦聲。《詩》曰：“去其螟蟘。”,亦聲,卷二十五据大徐补,unknown,round2,25,蟲食苗葉者吏乞貸則生蟘从虫从貸貸亦聲,卷25，據大徐補
8850,𧐂,食,True,敗創也。从虫、人、食，食亦聲。,亦聲,卷二十五据大徐补,unknown,round2,25,敗創也从虫人食食亦聲,卷25 supplement (from Da Xu)
8939,䬍,忽,True,疾風也。从風从忽，忽亦聲。,亦聲,卷二十五据大徐补,unknown,round2,25,疾風也从風从忽忽亦聲,卷25，補自大徐
8956,鼀,圥,True,圥鼀，詹諸也。其鳴詹諸，其皮鼀鼀，其行圥圥。从黽从圥，圥亦聲。,亦聲,卷二十五据大徐补,unknown,round2,25,圥鼀詹諸也其鳴詹諸其皮鼀鼁其行圥圥从黽从圥圥亦聲,卷25據大徐補
8982,坪,平,True,地平也。从土从平，平亦聲。,聲,,daxu_only,round2,26,地平也从土平聲,
8983,均,勻,True,平徧也。从土从勻，勻亦聲。,聲,,daxu_only,round2,26,平徧也从土匀聲,
9031,墨,黑,True,書墨也。从土从黑，黑亦聲。,無聲,,daxu_only,round2,26,書墨也从土黒,鍇注：㑹意
9036,城,成,True,以盛民也。从土从成，成亦聲。,亦聲,,both,round1,,㠯盛民也从土成成亦聲,
9156,黃,炗,True,地之色也。从田从炗，炗亦聲。炗，古文光。凡黃之屬皆从黃。,聲,,daxu_only,round3_scan,26,地之色也从田炗声炗古文光也凡黃之屬皆從黃,"plain 炗声 with 从田 (only one component marker), no 亦; no 臣鍇, fanqie 戶荒反. Juan 26 1a = p21 left [扫描 n7.pdf p30 left 026-10a]"
9167,功,工,True,以勞定國也。从力从工，工亦聲。,聲,,daxu_only,round2,26,㠯劳㝎國也从力工聲,
9183,勶,徹,True,發也。从力从徹，徹亦聲。,亦聲,,both,round2,26,發也从力徹徹亦聲,
9280,釦,口,True,金飾器口。从金从口，口亦聲。,亦聲,,both,round1,,金餙器口从金口口亦聲,
9293,鏨,斬,True,小鑿也。从金从斬，斬亦聲。,亦聲,,both,round2,27,小鑿也从金斬斬亦聲,
9334,鈴,令,True,令丁也。从金从令，令亦聲。,其他聲,,daxu_only,round2,27,鈐釘也从金今聲,今當即令之訛，連丁反；無亦
9405,鍒,柔,True,𨮯之耎也。从金从柔，柔亦聲。,聲,,daxu_only,round3_scan,27,鐵之耎也從金柔聲,"Gloss is printed 鐵之耎也 (Da Xu 𨮯之耎也); 从 and 声 are printed in these forms; no 臣鍇; 然尤反. It is among the last entries of 金部, just before 文百九十七. Juan 27 1a = n7 p33 left [扫描 n7.pdf p41 right 027-8b]"
9453,㪵,半,True,量物分半也。从斗从半，半亦聲。,亦聲,,both,round2,27,量物分半也从斗半亦聲,no 从半
9485,䡊,反,True,車耳反出也。从車从反，反亦聲。,聲,,daxu_only,round2,27,車耳反出也从車反聲,
9542,轚,毄,True,車轄相擊也。从車从毄，毄亦聲。《周禮》曰：“舟輿擊互者。”,亦聲,,both,round2,27,車轄相擊也从車毄毄亦聲,
9576,陸,坴,True,高平地。从𨸏从坴，坴亦聲。,聲,,daxu_only,round2,28,髙平地从□坴聲,□代𨸏
9595,陷,臽,True,高下也。一曰陊也。从𨸏从臽，臽亦聲。,聲,,daxu_only,round2,28,高下也从□臽聲一曰陟,□ is 𨸏; 陟 for Da Xu 陊
9605,𨻺,頃,True,仄也。从𨸏从頃，頃亦聲。,聲,,daxu_only,round2,28,仄也从□頃聲,□當為𨸏
9615,阢,兀,True,石山戴土也。从𨸏从兀，兀亦聲。,其他聲,,daxu_only,round2,28,石山載土也从□几聲,几當即兀之訛；無亦
9649,隙,𡭴,True,壁際孔也。从𨸏从𡭴，𡭴亦聲。,聲,,daxu_only,round2,28,壁際孔也从□□聲,□聲，無亦；□當作𡭴
9720,字,子,True,乳也。从子在宀下，子亦聲。,亦聲,,both,round2,28,乳也愛也从宀子子亦聲,auto_guess wrong: its 从子聲 is 㝅
9724,季,稚,True,少偁也。从子，从稚省，稚亦聲。,亦聲,,both,round2,28,少偁从子稚省稚亦聲,
9740,疏,疋,True,通也。从𡿮从疋，疋亦聲。,亦聲,,both,round1,,通也从㐬从疋疋亦聲,
9743,羞,丑,True,進獻也。从羊，羊，所進也；从丑，丑亦聲。,亦聲,,both,round1,,進獻也从羊羊所進也从丑丑亦聲,
9758,酒,酉,True,就也，所以就人性之善惡。从水从酉，酉亦聲。一曰造也，吉凶所造也。 古者儀狄作酒醪，禹嘗之而美，遂䟽儀狄。杜康作秫酒。,亦聲,,both,round3_scan,28,就也所以就人性之善惡从水从酉酉亦声一曰造也吉凶所造起也古者儀狄作酒醪禹嘗之而美遂疏儀狄杜康作林酒,"Juan 28 1a = p49 left. This is the first entry after 酉. It is printed with 从 and has 杜康作林酒 (sic, for 秫). 臣鍇 commentary follows: 周禮五齊… [扫描 n7.pdf p65 left 028-17a]"
9794,酣,甘,True,酒樂也。从酉从甘，甘亦聲。,聲,,daxu_only,round1,,酒樂也从酉甘聲,
